# IM3 Teleconnections Project: Sean Turner,,,,,,,,
# Production and Irrigation values for GCAM Commodities in each US HUC2 River Basin.,,,,,,,,
GCAM_basin_name,GLU,HUC2,GCAM_commodity,prod_kgm2_2010,TotIrr_m3kg,prod_kgkm2_2010,TotIrr_BCMkg,Irr_BCM_KM2
Missouri River,GLU223,10,Wheat,1.015019739,3.684157598,1015019.739,3.68E-09,0.001876671
New England,GLU232,1,Corn,3.730071871,0.826534452,3730071.871,8.27E-10,0.001548656
New England,GLU232,1,FiberCrop,0,0,0,0,0
New England,GLU232,1,FodderGrass,2.794786165,0,2794786.165,0,0
New England,GLU232,1,FodderHerb,10.52701514,0.247455366,10527015.14,2.47E-10,0.001343803
New England,GLU232,1,MiscCrop,2.976361055,1.035714151,2976361.055,1.04E-09,0.001234227
New England,GLU232,1,OilCrop,0.29327066,0,293270.6596,0,0
New England,GLU232,1,OtherGrain,1.37191124,2.509637688,1371911.24,2.51E-09,0.001460899
New England,GLU232,1,Root_Tuber,4.723023474,0.065678077,4723023.474,6.57E-11,3.10E-04
New England,GLU232,1,Wheat,1.95122166,2.155574716,1951221.66,2.16E-09,0.00203736
Ohio River,GLU228,5,Corn,1.176562327,0.57755993,1176562.327,5.78E-10,6.80E-04
Ohio River,GLU228,5,FiberCrop,0.289562637,3.677280303,289562.6366,3.68E-09,0.001064803
Ohio River,GLU228,5,FodderGrass,2.254109157,0,2254109.157,0,0
Ohio River,GLU228,5,FodderHerb,2.736989476,0.113354579,2736989.476,1.13E-10,3.10E-04
Ohio River,GLU228,5,MiscCrop,1.30640805,0.44656593,1306408.05,4.47E-10,5.83E-04
Ohio River,GLU228,5,OilCrop,0.443549595,1.531575195,443549.5947,1.53E-09,6.79E-04
Ohio River,GLU228,5,OtherGrain,0.379442565,1.944069477,379442.5647,1.94E-09,7.38E-04
Ohio River,GLU228,5,Root_Tuber,3.565030318,0.071687208,3565030.318,7.17E-11,2.56E-04
Ohio River,GLU228,5,Wheat,0.933474312,1.4667331,933474.312,1.47E-09,0.001369158
Pacific Northwest,GLU229,17,Corn,3.442473552,1.318875045,3442473.552,1.32E-09,0.002287216
Pacific Northwest,GLU229,17,FiberCrop,0.118106293,3.059634483,118106.2934,3.06E-09,3.61E-04
Pacific Northwest,GLU229,17,FodderGrass,2.67096399,0,2670963.99,0,0
Pacific Northwest,GLU229,17,FodderHerb,8.895032102,0.203116436,8895032.102,2.03E-10,0.001009883
Pacific Northwest,GLU229,17,MiscCrop,3.23393575,0.834007786,3233935.75,8.34E-10,0.001347714
Pacific Northwest,GLU229,17,OilCrop,0.403239972,5.096436425,403239.9719,5.10E-09,0.001077197
Pacific Northwest,GLU229,17,OtherGrain,1.326319167,1.762438131,1326319.167,1.76E-09,0.001167226
Pacific Northwest,GLU229,17,Root_Tuber,5.441278563,0.142599606,5441278.563,1.43E-10,7.76E-04
Pacific Northwest,GLU229,17,SugarCrop,6.619685779,0.106685269,6619685.779,1.07E-10,7.06E-04
Pacific Northwest,GLU229,17,Wheat,1.596316983,2.711263486,1596316.983,2.71E-09,0.002058167
Rio Grande River,GLU231,13,Corn,1.409791528,3.836739773,1409791.528,3.84E-09,0.002548904
Rio Grande River,GLU231,13,FiberCrop,0.662193308,7.545331329,662193.3076,7.55E-09,0.002525967
Rio Grande River,GLU231,13,FodderGrass,3.556365809,0.522417602,3556365.809,5.22E-10,7.24E-04
Rio Grande River,GLU231,13,FodderHerb,5.754220906,0.305161438,5754220.906,3.05E-10,9.35E-04
Rio Grande River,GLU231,13,MiscCrop,3.607487126,0.717614157,3607487.126,7.18E-10,0.001242276
Rio Grande River,GLU231,13,OilCrop,0.39236369,8.302929739,392363.6898,8.30E-09,8.69E-04
Rio Grande River,GLU231,13,OtherGrain,1.081228871,2.729213055,1081228.871,2.73E-09,0.001367573
Rio Grande River,GLU231,13,Root_Tuber,8.241125183,0.439890218,8241125.183,4.40E-10,0.001759849
Rio Grande River,GLU231,13,SugarCrop,21.05123341,0.319285308,21051233.41,3.19E-10,0.002849861
Rio Grande River,GLU231,13,Wheat,1.12068161,3.332774357,1120681.61,3.33E-09,0.001578082
South Atlantic Gulf,GLU226,3,Corn,1.039481219,0.744719545,1039481.219,7.45E-10,7.74E-04
South Atlantic Gulf,GLU226,3,FiberCrop,0.298990823,3.56891827,298990.8231,3.57E-09,0.001067074
South Atlantic Gulf,GLU226,3,FodderGrass,2.350492753,0,2350492.753,0,0
South Atlantic Gulf,GLU226,3,FodderHerb,2.6309707,0.122715293,2630970.7,1.23E-10,3.23E-04
South Atlantic Gulf,GLU226,3,MiscCrop,2.84973453,0.290868107,2849734.53,2.91E-10,8.29E-04
South Atlantic Gulf,GLU226,3,OilCrop,0.392406985,1.756104994,392406.9846,1.76E-09,6.89E-04
South Atlantic Gulf,GLU226,3,OtherGrain,0.302430612,1.899234429,302430.6119,1.90E-09,5.74E-04
South Atlantic Gulf,GLU226,3,Rice,0.638219663,1.359906688,638219.6626,1.36E-09,8.68E-04
South Atlantic Gulf,GLU226,3,Root_Tuber,2.656660727,0.153309719,2656660.727,1.53E-10,4.07E-04
South Atlantic Gulf,GLU226,3,SugarCrop,9.454946737,0.228030157,9454946.737,2.28E-10,0.002156013
South Atlantic Gulf,GLU226,3,Wheat,0.79319598,1.563447187,793195.9801,1.56E-09,0.00124012
Tennessee River,GLU230,6,Corn,1.053290208,0.706448596,1053290.208,7.06E-10,7.44E-04
Tennessee River,GLU230,6,FiberCrop,0.314088919,3.807486076,314088.9186,3.81E-09,0.001195889
Tennessee River,GLU230,6,FodderGrass,2.159484844,0,2159484.844,0,0
Tennessee River,GLU230,6,FodderHerb,2.912536592,0.115443707,2912536.592,1.15E-10,3.36E-04
Tennessee River,GLU230,6,MiscCrop,1.500542041,0.371706409,1500542.041,3.72E-10,5.58E-04
Tennessee River,GLU230,6,OilCrop,0.319378142,2.374303879,319378.1416,2.37E-09,7.58E-04
Tennessee River,GLU230,6,OtherGrain,0.310452907,2.081035919,310452.9071,2.08E-09,6.46E-04
Tennessee River,GLU230,6,Root_Tuber,2.607576825,0.15162617,2607576.825,1.52E-10,3.95E-04
Tennessee River,GLU230,6,Wheat,0.814038131,1.771614158,814038.1309,1.77E-09,0.001442161
Texas Gulf Coast,GLU225,12,Corn,0.888709264,0.916227532,888709.2638,9.16E-10,8.14E-04
Texas Gulf Coast,GLU225,12,FiberCrop,0.216275252,4.477948632,216275.2521,4.48E-09,9.68E-04
Texas Gulf Coast,GLU225,12,FodderGrass,2.408990332,0,2408990.332,0,0
Texas Gulf Coast,GLU225,12,FodderHerb,3.40940437,0.12712961,3409404.37,1.27E-10,4.33E-04
Texas Gulf Coast,GLU225,12,MiscCrop,1.736349039,0.281355149,1736349.039,2.81E-10,4.89E-04
Texas Gulf Coast,GLU225,12,OilCrop,0.408249839,1.679775882,408249.8388,1.68E-09,6.86E-04
Texas Gulf Coast,GLU225,12,OtherGrain,0.571266184,1.319745537,571266.1845,1.32E-09,7.54E-04
Texas Gulf Coast,GLU225,12,Rice,0.779879195,0.692089164,779879.1951,6.92E-10,5.40E-04
Texas Gulf Coast,GLU225,12,Root_Tuber,3.566526372,0.224055206,3566526.372,2.24E-10,7.99E-04
Texas Gulf Coast,GLU225,12,SugarCrop,13.48200681,0.092292319,13482006.81,9.23E-11,0.001244286
Texas Gulf Coast,GLU225,12,Wheat,0.443412618,2.701030498,443412.6182,2.70E-09,0.001197671
Upper Colorado River,GLU220,14,Corn,1.29167942,0.846802262,1291679.42,8.47E-10,0.001093797
Upper Colorado River,GLU220,14,FodderGrass,1.550138356,0,1550138.356,0,0
Upper Colorado River,GLU220,14,FodderHerb,1.544656295,0.077720094,1544656.295,7.77E-11,1.20E-04
Upper Colorado River,GLU220,14,MiscCrop,1.001829244,0.413133781,1001829.244,4.13E-10,4.14E-04
Upper Colorado River,GLU220,14,OilCrop,0.093322787,2.18120194,93322.78657,2.18E-09,2.04E-04
Upper Colorado River,GLU220,14,OtherGrain,0.430075359,0.988844756,430075.3588,9.89E-10,4.25E-04
Upper Colorado River,GLU220,14,Root_Tuber,4.410869184,0.083851489,4410869.184,8.39E-11,3.70E-04
Upper Colorado River,GLU220,14,SugarCrop,5.250845409,0.106685269,5250845.409,1.07E-10,5.60E-04
Upper Colorado River,GLU220,14,Wheat,0.40013607,2.417557345,400136.0695,2.42E-09,9.67E-04
Upper Mississippi,GLU218,7,Corn,1.483578147,0.471937877,1483578.147,4.72E-10,7.00E-04
Upper Mississippi,GLU218,7,FiberCrop,0.290068575,3.13018543,290068.5748,3.13E-09,9.08E-04
Upper Mississippi,GLU218,7,FodderGrass,3.838725869,0,3838725.869,0,0
Upper Mississippi,GLU218,7,FodderHerb,2.529844075,0.101637921,2529844.075,1.02E-10,2.57E-04
Upper Mississippi,GLU218,7,MiscCrop,1.245016978,0.419863959,1245016.978,4.20E-10,5.23E-04
Upper Mississippi,GLU218,7,OilCrop,0.497388431,1.367148584,497388.4314,1.37E-09,6.80E-04
Upper Mississippi,GLU218,7,OtherGrain,0.403891119,1.914115279,403891.1187,1.91E-09,7.73E-04
Upper Mississippi,GLU218,7,Rice,0.709610145,1.035010773,709610.1447,1.04E-09,7.34E-04
Upper Mississippi,GLU218,7,Root_Tuber,4.632014973,0.13270742,4632014.973,1.33E-10,6.15E-04
Upper Mississippi,GLU218,7,SugarCrop,7.160859107,0.106685269,7160859.107,1.07E-10,7.64E-04
Upper Mississippi,GLU218,7,Wheat,0.876676664,1.519524751,876676.6641,1.52E-09,0.001332132
