Name,DVSN_ID,Reach_ID,Q0001A,Q0001C,Q0001E,USGS_1,USGS_2,USGS_3,USGS_4,USGS_5,USGS_6,USGS_7,USGS_8
Lake Purdy,3521,21655372,1.99,2.05,2.12,242340550,2423400,NA,NA,NA,NA,NA,NA
Falcon Dam,3348,326435,455.76,420.93,256.71,NA,NA,NA,NA,NA,NA,NA,NA
Lake Texana,3536,7847431,11.27,12.01,18.8,8164390,8164500,NA,NA,NA,NA,NA,NA
Lake Corpus Christi,3462,3170376,44.54,36.87,19.3,NA,NA,NA,NA,NA,NA,NA,NA
Lake Michie,3505,8778503,5.41,5.34,5,2086000,2085500,NA,NA,NA,NA,NA,NA
Little River Reservoir,3562,8777535,3.15,3.17,2.81,208524090,2085220,NA,NA,NA,NA,NA,NA
Glenville Lake,3372,8847199,0.26,0.29,0.29,210382050,NA,NA,NA,NA,NA,NA,NA
Flat Iron Dam,3357,12976,0.01,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
Green Mountain Dam,3380,1313287,14.88,15.24,13.13,9056000,NA,NA,NA,NA,NA,NA,NA
Horsetooth Reservoir,3405,2900925,0.03,0.06,0.06,NA,NA,NA,NA,NA,NA,NA,NA
Olympus Dam,3670,13654,5.26,5.96,10.26,6734500,6733000,NA,NA,NA,NA,NA,NA
Lake Mackintosh,3496,8891498,3.86,3.87,3.87,2096700,NA,NA,NA,NA,NA,NA,NA
Lake Townsend,3538,8891588,3.02,3.06,3.12,NA,NA,NA,NA,NA,NA,NA,NA
Lake Reidsville,3524,8891518,1.8,1.86,1.86,NA,NA,NA,NA,NA,NA,NA,NA
Stoney Creek Reservoir,3819,166737157,0.36,0.39,0.39,NA,NA,NA,NA,NA,NA,NA,NA
Lake Maumelle,3500,22848039,0.08,0.08,0.08,72632966,72632971,72632968,NA,NA,NA,NA,NA
Lake Winona,3548,21921507,2.27,2.06,2.21,7362587,NA,NA,NA,NA,NA,NA,NA
Lake Meredith-TX,3504,19981020,46.69,53.76,6.13,7227900,7227890,NA,NA,NA,NA,NA,NA
J.B. Converse Reservoir,3418,18095217,5.75,5.72,5.99,2480002,2480000,NA,NA,NA,NA,NA,NA
Modesto Reservoir,3625,2820158,159.91,168.65,56.69,NA,NA,NA,NA,NA,NA,NA,NA
Lake Bard,3448,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Falls Lake,3352,166737584,24.44,22.77,21.11,208706575,NA,NA,NA,NA,NA,NA,NA
Boca Reservoir,3230,8934482,8.35,5.58,5.26,10344299,10344300,NA,NA,NA,NA,NA,NA
Cobble Mountain Reservoir,3293,6097519,3.04,3.29,3.29,NA,NA,NA,NA,NA,NA,NA,NA
Stockton Lake,3818,7373063,32.91,30.47,28.96,6918440,6918460,6918800,NA,NA,NA,NA,NA
New Hogan Reservoir,3649,17068300,12.18,9.88,9.58,NA,NA,NA,NA,NA,NA,NA,NA
Lake Havasu,3481,21439507,908.08,1251.37,308.83,9427500,NA,NA,NA,NA,NA,NA,NA
Lake Hudson,3486,21785310,0.21,0.23,0.23,NA,NA,NA,NA,NA,NA,NA,NA
Lake Oologah,3514,21799057,73.45,84.87,98.75,NA,NA,NA,NA,NA,NA,NA,NA
Lake Spavinaw,3530,21773083,12.16,13.86,12.5,7191297,7191288,NA,NA,NA,NA,NA,NA
Lake Gaston,3476,12047930,279.55,236.86,241.38,2079500,NA,NA,NA,NA,NA,NA,NA
Western Branch Reservoir-VA,3868,10054862,2.06,2.27,2.27,NA,NA,NA,NA,NA,NA,NA,NA
Cheney Reservoir,3281,21161233,2.75,3.1,5.17,7144730,7144780,NA,NA,NA,NA,NA,NA
Salem Lake,3750,9249584,0.79,0.85,0.85,NA,NA,NA,NA,NA,NA,NA,NA
Holden Reservoir No. 2,3400,6116794,0.28,0.31,0.31,NA,NA,NA,NA,NA,NA,NA,NA
Lynde Brook Reservoir,3578,166196336,0.03,0.03,0.03,NA,NA,NA,NA,NA,NA,NA,NA
Hemlock Lake,3392,15540303,1.2,1.55,1.55,NA,NA,NA,NA,NA,NA,NA,NA
Allegheny river,3177,11050716,521.57,489.54,593.62,3049500,NA,NA,NA,NA,NA,NA,NA
Cahaba River,3253,21655350,6.74,6.67,6.6,NA,NA,NA,NA,NA,NA,NA,NA
Sipsey Fork,3796,18581829,55.19,50.98,50.54,2452500,NA,NA,NA,NA,NA,NA,NA
Cape Fear River - Fayetteville,3264,8847195,131.17,114.45,122.13,NA,NA,NA,NA,NA,NA,NA,NA
Crystal Creek Reservoir-CO,3308,1529147,0.08,0.09,0.09,NA,NA,NA,NA,NA,NA,NA,NA
Grizzly Reservoir,3383,1327539,0.62,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery Reservoir,3629,5239136,0.33,0.51,0.51,9042000,NA,NA,NA,NA,NA,NA,NA
Pikeview Reservoir,3689,1529615,1.46,1.64,0.9,7104000,NA,NA,NA,NA,NA,NA,NA
Ruedi Reservoir,3744,1327495,6.88,6.95,4.85,9080100,NA,NA,NA,NA,NA,NA,NA
Upper Blue Reservoir,3850,1314795,0.13,0.12,0.12,NA,NA,NA,NA,NA,NA,NA,NA
Cross Lake,3305,1136426,9.26,10.53,9.32,7344450,7344460,NA,NA,NA,NA,NA,NA
James River,3420,7607997,7.49,8.5,7.21,7050700,NA,NA,NA,NA,NA,NA,NA
Lake Jordan,3489,8898130,51.33,46.45,48.35,2096960,2097000,2098000,NA,NA,NA,NA,NA
Big Sioux River,3225,7223612,10.8,11.13,13.07,6482020,NA,NA,NA,NA,NA,NA,NA
Big Tooth Reservoir,3226,1531337,0.1,0.11,0.11,NA,NA,NA,NA,NA,NA,NA,NA
Boise River,3235,23398895,83.45,89.25,52.04,13203510,NA,NA,NA,NA,NA,NA,NA
Cache La Poudre River,3252,2900705,12.62,12.98,9.82,6752000,NA,NA,NA,NA,NA,NA,NA
Windy Gap Reservoir,3880,1234231,20.82,21.45,7.01,9019500,9034000,NA,NA,NA,NA,NA,NA
Michigan River,4031,15998932,0.65,0.92,0.74,NA,NA,NA,NA,NA,NA,NA,NA
Savannah River,3777,22720833,296.27,250.45,279.14,2196484,NA,NA,NA,NA,NA,NA,NA
Twelve Mile Bayou,3844,1136362,110.8,128.44,91.31,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland River - Clarksville,4039,11884510,716.14,666.37,714.54,3436500,NA,NA,NA,NA,NA,NA,NA
Des Moines River,3318,6597738,71.26,67.22,110.24,5481650,NA,NA,NA,NA,NA,NA,NA
Raccoon River,3721,6610140,46.99,45.78,63.92,5484650,NA,NA,NA,NA,NA,NA,NA
Ohio River - Cincinnati,3668,3406055,2795.83,2506.53,3044.14,3255000,NA,NA,NA,NA,NA,NA,NA
Rio Grande - Laredo,4047,607429,400.58,365.95,201.72,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee River - Knoxville,4049,22131255,411.91,386.4,375.9,3497000,NA,NA,NA,NA,NA,NA,NA
Tennessee River - Chattanooga,4050,19696573,1160.14,1084.14,1039.97,3568000,NA,NA,NA,NA,NA,NA,NA
Tennessee River - Huntsville,3834,19621596,1396.21,1303.86,1262.21,3575500,NA,NA,NA,NA,NA,NA,NA
St. Joseph River,3653,15679515,25.09,31.18,30.86,4180500,NA,NA,NA,NA,NA,NA,NA
Javors J. Lucas Lake,3421,6341486,76.22,67.92,72.19,NA,NA,NA,NA,NA,NA,NA,NA
Ocmulgee River,3665,6340532,0.18,0.27,0.27,2212735,NA,NA,NA,NA,NA,NA,NA
Missouri River - Omaha,4051,17219468,1246.82,773.4,1065.09,6610500,6601200,NA,NA,NA,NA,NA,NA
Missouri River,3622,2255507,1749.74,1045.59,1512.7,6818300,NA,NA,NA,NA,NA,NA,NA
Kentucky River,3431,1827790,196.49,189.41,205.03,3284500,3286200,3284580,NA,NA,NA,NA,NA
Kern River,3432,17172852,45.65,42.37,29.51,11194000,NA,NA,NA,NA,NA,NA,NA
Yadkin River - Winston-Salem,4052,9249832,79.2,70.48,80.24,2115360,NA,NA,NA,NA,NA,NA,NA
Yadkin River - Greensboro,3882,9223787,142.69,124.1,136.57,NA,NA,NA,NA,NA,NA,NA,NA
Russian River to Mirabel Dam,4053,8273679,74.42,72.6,68.86,11466800,11465390,NA,NA,NA,NA,NA,NA
McKenzie River,3595,23772775,135,146.17,141.78,14164000,NA,NA,NA,NA,NA,NA,NA
Mississippi River - New Orleans,4055,22799305,14637.46,13947.68,15278.78,73802291,73802220,3.00516E+12,73802294,7378740,7379001,NA,NA
Tuolumne River,4056,17080387,84.96,84.01,69.61,NA,NA,NA,NA,NA,NA,NA,NA
Regulating Reservoir-RI,3729,6130387,5.03,5.38,5.38,NA,NA,NA,NA,NA,NA,NA,NA
North Santiam River,3658,23780479,92.69,99.4,101.51,14183010,NA,NA,NA,NA,NA,NA,NA
Pearl River,3683,15758350,161.62,150.2,140.68,NA,NA,NA,NA,NA,NA,NA,NA
Platte River,3696,17415946,314.72,227.18,231.09,6805500,NA,NA,NA,NA,NA,NA,NA
Tallapoosa River,3830,21719268,205.58,181.83,180.73,2419500,NA,NA,NA,NA,NA,NA,NA
Jordan River,4073,10390290,44.72,26.55,4.26,10171000,NA,NA,NA,NA,NA,NA,NA
"James River, VA",4091,8574025,236.1,255.78,221.04,2037500,NA,NA,NA,NA,NA,NA,NA
Lake Whitehurst,4224,9892944,0.42,0.47,0.47,NA,NA,NA,NA,NA,NA,NA,NA
Little Creek Reservoir,4225,9891468,0.22,0.24,0.24,NA,NA,NA,NA,NA,NA,NA,NA
Lake Lawson,4226,9891486,0.02,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
Lake Smith,4227,9891480,0.14,0.15,0.15,NA,NA,NA,NA,NA,NA,NA,NA
Lake Livingston,2141,1492990,213.12,132.37,5.67,8066000,8066170,8066100,NA,NA,NA,NA,NA
Lake Houston,2143,1469612,61.11,47.74,45.35,8071500,NA,NA,NA,NA,NA,NA,NA
Schuylkill River - Belmont Plant,2145,4784831,80.4,87.39,85.73,1473500,1474000,NA,NA,NA,NA,NA,NA
Delaware River - Baxter Plant,2146,4488286,379.13,410.14,390.5,1464598,NA,NA,NA,NA,NA,NA,NA
Lake Pleasant,2148,20417278,3.83,3.87,3.28,9513000,NA,NA,NA,NA,NA,NA,NA
Saguaro Lake,2152,20478160,54.05,63.47,42.06,NA,NA,NA,NA,NA,NA,NA,NA
Bartlett Reservoir,2154,20440788,29.43,33.38,19.73,9509000,NA,NA,NA,NA,NA,NA,NA
C. C. Cragin Reservoir,2155,21746001,1.5,1.44,1.44,NA,NA,NA,NA,NA,NA,NA,NA
Lake Miramar,2162,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Murray Reservoir,2163,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
El Capitan Lake,2164,20337546,2.8,1.96,1.88,NA,NA,NA,NA,NA,NA,NA,NA
Lower Otay Lake,2165,20337550,0.31,0.17,0.5,11014000,NA,NA,NA,NA,NA,NA,NA
San Vicente Reservoir,2167,20334576,0.29,0.16,0.16,11021500,NA,NA,NA,NA,NA,NA,NA
Hodges Reservoir,2168,20329202,2.33,1.59,1.17,11029500,NA,NA,NA,NA,NA,NA,NA
Barrett Reservoir,2170,20326495,3.58,2.56,2.49,NA,NA,NA,NA,NA,NA,NA,NA
Elm Fork of the Trinity River - Elm Fork WTP,2192,1279578,19.92,19.12,23.56,8053000,8053010,NA,NA,NA,NA,NA,NA
Ray Hubbard Lake,2196,1294840,17.66,17.32,12.96,8061540,8061500,NA,NA,NA,NA,NA,NA
Tawakoni Lake,2197,5256997,15.09,15.23,14.81,8017300,8017200,NA,NA,NA,NA,NA,NA
Fork Lake,2198,5294057,11.52,12.22,11.26,8018730,NA,NA,NA,NA,NA,NA,NA
Bouquet Reservoir,2201,17580111,0.1,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Drinkwater Reservoir,2203,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Fairmont Reservoir,2204,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Reservoir,2207,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
South Haiwee Reservoir,2209,20268947,3.61,2.59,2.59,NA,NA,NA,NA,NA,NA,NA,NA
Tinemaha Reservoir,2211,163864514,18.53,15.69,17.24,10268000,10271210,10276000,10277000,10276500,NA,NA,NA
Lee Vining Creek,2212,20287634,1.71,1.14,0.66,10287900,NA,NA,NA,NA,NA,NA,NA
Walker Creek,2213,20287590,0.51,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA
Parker Creek,2214,20287592,0.46,0.27,0.27,10287400,NA,NA,NA,NA,NA,NA,NA
Independence Creek,2225,20267023,0.34,0.19,0.19,10282000,10281500,NA,NA,NA,NA,NA,NA
Lone Pine Creek,2226,20266767,0.33,0.18,0.18,10284800,NA,NA,NA,NA,NA,NA,NA
Cottonwood Creek,2227,20267703,0.6,0.36,0.36,10286001,NA,NA,NA,NA,NA,NA,NA
Schoharie Reservoir,2228,3247596,16.23,17.73,10.44,1350080,1350100,NA,NA,NA,NA,NA,NA
Cannonsville Reservoir,2229,2614136,21.69,23.67,13.76,1423500,1424500,NA,NA,NA,NA,NA,NA
Pepacton Reservoir,2230,1748773,18.64,20.35,4.99,1415000,1416500,1414500,1413500,1414000,NA,NA,NA
Ashokan Reservoir,2231,25279678,16.97,18.53,15.18,1362500,1363382,NA,NA,NA,NA,NA,NA
Neversink Reservoir,2232,4148038,7.12,7.79,3.41,1435500,NA,NA,NA,NA,NA,NA,NA
Rondout Reservoir,2233,6200402,5.83,6.39,27.84,1365500,1365000,NA,NA,NA,NA,NA,NA
New Croton Reservoir,2241,6229098,18.98,20.72,16.5,1374918,1374976,1374941,137499350,1374901,1374987,1374701,1374821
Kenisco Reservoir,2246,932030140,0.64,0.71,11.56,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Reservoir,2250,2808653,0.54,0.32,0.32,NA,NA,NA,NA,NA,NA,NA,NA
Lake del Valle,2251,2808647,2.18,1.49,1.26,11176400,NA,NA,NA,NA,NA,NA,NA
Hetch Hetchy Reservoir,2252,17082365,30.52,27.18,27.78,11274800,11275000,NA,NA,NA,NA,NA,NA
Calaveras Reservoir,2253,2811075,1.73,1.15,1.9,11173200,NA,NA,NA,NA,NA,NA,NA
Cherry Lake,2254,17082185,9.09,7.16,6.6,11277000,NA,NA,NA,NA,NA,NA,NA
Lake Eleanor,2255,17082195,5.53,4.14,3.78,11277100,NA,NA,NA,NA,NA,NA,NA
Lower Crystal Springs Reservoir,2256,948050153,0.47,0.28,0.28,NA,NA,NA,NA,NA,NA,NA,NA
Pilarcitos Lake,2258,17687599,0.19,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA
Priest Reservoir,2259,17080409,0.01,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Anderson Lake,2260,17695819,3.38,2.4,2.19,11169800,NA,NA,NA,NA,NA,NA,NA
Calero Reservoir,2261,17695921,0.18,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA
Almaden Reservoir,2262,17695791,0.69,0.42,0.42,NA,NA,NA,NA,NA,NA,NA,NA
Chesbro Reservoir,2264,17662409,0.64,0.39,0.41,11153470,NA,NA,NA,NA,NA,NA,NA
Guadalupe Reservoir,2265,17695787,0.34,0.19,0.19,NA,NA,NA,NA,NA,NA,NA,NA
Uvas Reservoir,2267,17662427,1.24,0.79,0.83,11153900,NA,NA,NA,NA,NA,NA,NA
Vasona Reservoir,2268,17695747,2.44,1.68,1.68,11168500,NA,NA,NA,NA,NA,NA,NA
Stevens Creek Reservoir,2269,17693257,0.68,0.41,0.41,NA,NA,NA,NA,NA,NA,NA,NA
White River - White River Plant,2274,18476879,44.26,44.44,44.27,3352875,3351060,NA,NA,NA,NA,NA,NA
Eagle Creek Reservoir,2278,18476869,4.49,4.8,4.31,3353200,NA,NA,NA,NA,NA,NA,NA
Don Pedro Reservoir,2282,17080371,84.94,83.99,69.59,11288000,NA,NA,NA,NA,NA,NA,NA
Colorado River (TX) - Albert H. Ullrich WTP,2284,5781877,84.74,62.34,40.68,8154700,8154510,NA,NA,NA,NA,NA,NA
Griggs Reservoir - dammed Scioto R.,2285,5215729,23.4,23.91,27.34,3221000,NA,NA,NA,NA,NA,NA,NA
Hoover Reservoir,2287,5213585,5.34,5.68,5.73,3228300,NA,NA,NA,NA,NA,NA,NA
Lake Worth,2291,1269054,8.4,9.44,10.1,8045000,NA,NA,NA,NA,NA,NA,NA
Benbrook Lake,2292,1269108,1.81,2.69,2.8,8046000,NA,NA,NA,NA,NA,NA,NA
Cedar Creek Reservoir,2293,1300600,17.81,17.45,15.2,8063000,8063003,NA,NA,NA,NA,NA,NA
Richland-Chambers Reservoir,2294,4133189,20.87,19.86,20.13,8064550,8063500,NA,NA,NA,NA,NA,NA
Mountain Island Lake,2295,9755528,76.32,68.02,73.66,214267200,NA,NA,NA,NA,NA,NA,NA
Loch Raven Reservoir,2298,11689948,11.01,12.04,11.36,1583500,1582500,1583600,NA,NA,NA,NA,NA
Liberty Reservoir,2299,11690130,5.49,6.01,5.66,1586500,1586610,NA,NA,NA,NA,NA,NA
Conowingo Dam ? Susquehanna River,2301,4726593,996.05,1074.31,1131.78,1577000,NA,NA,NA,NA,NA,NA,NA
Quabbin Reservoir,2302,7691997,7.21,7.68,7.08,1174500,1174575,1174900,1174565,1174050,1174000,NA,NA
Ware River,2304,7691403,4.97,5.32,5.16,1172500,NA,NA,NA,NA,NA,NA,NA
Cedar River - Landsburg diversion dam,2305,24537920,21.68,22.4,20.15,12117500,NA,NA,NA,NA,NA,NA,NA
South Fork Tolt Reservoir,2306,23970767,4.27,4.23,3.99,12147800,NA,NA,NA,NA,NA,NA,NA
Detroit River,2307,10850250,4952.62,5734.14,5737.9,4165710,NA,NA,NA,NA,NA,NA,NA
Potomac River - Dalecarlia Reservoir,2309,4509278,348.19,376.76,362.93,1646500,NA,NA,NA,NA,NA,NA,NA
Dillon Reservoir,2311,1313385,9.3,9.45,6.56,9050500,9047000,NA,NA,NA,NA,NA,NA
Tributaries to Fraser River (Moffat Tunnel),2312,1234355,6.5,6.56,4.64,9033300,NA,NA,NA,NA,NA,NA,NA
Gross Reservoir,2316,2891624,2.1,2.63,4.35,6729300,NA,NA,NA,NA,NA,NA,NA
Bear Creek (to canal),2318,188173,2.44,3.01,1.49,NA,NA,NA,NA,NA,NA,NA,NA
Ralston Reservoir,2319,2885616,0.47,0.69,0.69,6719740,NA,NA,NA,NA,NA,NA,NA
Williams Fork River intake,2320,1239423,0.87,0.84,0.95,9035500,NA,NA,NA,NA,NA,NA,NA
Bull Run Reservoir No. 2,2323,23736019,19.58,20.18,22.03,14139800,14139510,14139600,NA,NA,NA,NA,NA
Lake Mead,2327,25138764,896.96,1235.19,440.8,9419515,9415240,9419800,9419547,9404245,NA,NA,NA
Millerton Lake,3614,17116483,81.81,80.58,7.59,11248000,11247500,11247050,NA,NA,NA,NA,NA
Pine Flat Lake,3691,22063199,71.69,69.67,55.92,11218499,11220000,11220500,NA,NA,NA,NA,NA
Ross Barnett Reservoir,3743,15758474,148.21,137.67,135.96,2485498,2485500,2485000,NA,NA,NA,NA,NA
Hefner Reservoir,3390,254990,0.02,0.02,0.02,7159500,NA,NA,NA,NA,NA,NA,NA
McGee Creek Reservoir,3593,167484717,5.1,5.78,5.78,NA,NA,NA,NA,NA,NA,NA,NA
Overholser Reservoir,3675,391812,27.45,31.48,6.86,7240200,NA,NA,NA,NA,NA,NA,NA
Stanley Draper Reservoir,3814,482192,0.12,0.13,0.13,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland River - Nashville-Davidson,3312,18408548,593.04,554.68,633.68,3426500,NA,NA,NA,NA,NA,NA,NA
Ohio River - Louisville,4043,10164012,3285.49,2932.57,3520.08,3294500,NA,NA,NA,NA,NA,NA,NA
Rio Grande - Albuquerque,4045,17819084,160.99,136.15,83,8329650,8329500,8329600,NA,NA,NA,NA,NA
Rio Grande River - El Paso,3733,2539823,183.5,156.91,30.15,8363840,NA,NA,NA,NA,NA,NA,NA
Lake Dunlap,4028,1620061,5.92,7.09,25.52,8169500,NA,NA,NA,NA,NA,NA,NA
Medina Lake,4029,10835508,2.24,3.21,7.92,8179110,8179000,NA,NA,NA,NA,NA,NA
American River - Sacramento,4069,15024919,141.85,147.79,113.67,11447000,11426000,NA,NA,NA,NA,NA,NA
